GYear,GMonth,GDay,GoldText,GoldVerse,GoldFrame,GoldAlign,GoldSize,BigText,BigAlign,BigSize,SmallText
2021,1,1,我们不丧胆．外体虽然毁坏、#内心却一天新似一天。 ,哥林多后书4章16节,S,C,M,内心与身体是可以反方向成长的。 #坚强的意志也可反胜健全的身体。 ,C,L,.
2021,1,2,你借着我，日子必增多，#年岁也必加添。 ,箴言9章11节,S,C,M,笑话一则：#老师：「每天听英文，听久了自然懂。」#学生：「我每天听猫叫，听久了也不懂。」#老师：「……。」,C,L,.
2021,1,3,有一件事我要责备你、就是#你把起初的爱心离弃了。 ,启示录2章4节,S,C,M,没有爱心的、仍住在死中。 ,C,L,约翰一书3章14节
2021,1,4,大山可以挪开、#小山可以迁移． #但我的慈爱必不离开你...,以赛亚书54章10节,S,C,M,山会改变，时代会变迁，#但爱是不会因外在的变迁而改变。 ,C,L,.
2021,1,5,我们有这指望如同灵魂的锚、#又坚固又牢靠。 ,希伯来书6章19节,S,C,M,船锚靠重量与抓力以稳定船体#不受水流与风向影响而漂流。 #你的锚靠什么？ ,C,L,.
2021,1,6,神的旨意就是要你们#成为圣洁、远避淫行． ,帖撒罗尼迦前书4章3节,S,C,M,有很多人在战场上为国家牺牲，#又有多少基督徒为神的旨意牺牲？ ,C,L,.
2021,1,7,凡事谢恩． #因为这是神在基督耶稣#里向你们所定的旨意。 ,帖撒罗尼迦前书5章18节,S,C,M,有很多人在奥运场上为国家摆上，#又有多少基督徒为神的旨意摆上？ ,C,L,.
2021,1,8,你们必晓得真理、#真理必叫你们得以自由。 ,约翰福音8章32节,S,C,M,笑话一则：#法官对犯人说：「你为何印假钞?」#犯人回答：「我不懂印真钞。」 ,C,L,（请认识真理）
2021,1,9,为什么看见你弟兄眼中有刺、#却不想自己眼中有梁木呢。 ,马太福音7章3节,S,C,M,看见不等于看清。 ,C,L,.
2021,1,10,这些事门徒一样也不懂得、#意思乃是隐藏的、#他们不晓得所说的是什么。 ,路加福音18章34节,S,C,M,看清不等于看懂。 ,C,L,.
